':id',':album_id',':position',':title',':votes'
'0','0','0','"Track 0::0 title"','40'
'1','0','1','"Track 0::1 title"','159'
'2','0','2','"Track 0::2 title"','126'
'3','0','3','"Track 0::3 title"','109'
'4','0','4','"Track 0::4 title"','7'
'5','1','0','"Track 1::0 title"','54'
'6','1','1','"Track 1::1 title"','62'
'7','1','2','"Track 1::2 title"','89'
'8','1','3','"Track 1::3 title"','105'
'9','1','4','"Track 1::4 title"','61'
'10','1','5','"Track 1::5 title"','113'
'11','1','6','"Track 1::6 title"','43'
'12','2','0','"Track 2::0 title"','40'
'13','2','1','"Track 2::1 title"','0'
'14','2','2','"Track 2::2 title"','4'
'15','2','3','"Track 2::3 title"','54'
'16','2','4','"Track 2::4 title"','12'
'17','2','5','"Track 2::5 title"','92'
'18','2','6','"Track 2::6 title"','63'
'19','2','7','"Track 2::7 title"','69'
'20','2','8','"Track 2::8 title"','118'
'21','2','9','"Track 2::9 title"','174'
'22','2','10','"Track 2::10 title"','160'
'23','2','11','"Track 2::11 title"','169'
'24','2','12','"Track 2::12 title"','85'
'25','2','13','"Track 2::13 title"','123'
'26','2','14','"Track 2::14 title"','102'
'27','3','0','"Track 3::0 title"','25'
'28','3','1','"Track 3::1 title"','77'
'29','3','2','"Track 3::2 title"','118'
'30','3','3','"Track 3::3 title"','0'
'31','3','4','"Track 3::4 title"','35'
'32','3','5','"Track 3::5 title"','61'
'33','3','6','"Track 3::6 title"','141'
'34','3','7','"Track 3::7 title"','188'
'35','3','8','"Track 3::8 title"','122'
'36','3','9','"Track 3::9 title"','12'
'37','3','10','"Track 3::10 title"','27'
'38','3','11','"Track 3::11 title"','131'
'39','3','12','"Track 3::12 title"','94'
'40','3','13','"Track 3::13 title"','100'
'41','4','0','"Track 4::0 title"','76'
'42','4','1','"Track 4::1 title"','83'
'43','4','2','"Track 4::2 title"','193'
'44','4','3','"Track 4::3 title"','140'
'45','4','4','"Track 4::4 title"','47'
'46','4','5','"Track 4::5 title"','135'
'47','4','6','"Track 4::6 title"','121'
'48','4','7','"Track 4::7 title"','14'
'49','4','8','"Track 4::8 title"','4'
'50','4','9','"Track 4::9 title"','165'
'51','4','10','"Track 4::10 title"','127'
'52','4','11','"Track 4::11 title"','136'
'53','5','0','"Track 5::0 title"','164'
'54','5','1','"Track 5::1 title"','75'
'55','5','2','"Track 5::2 title"','178'
'56','5','3','"Track 5::3 title"','95'
'57','5','4','"Track 5::4 title"','113'
'58','5','5','"Track 5::5 title"','38'
'59','5','6','"Track 5::6 title"','77'
'60','5','7','"Track 5::7 title"','170'
'61','6','0','"Track 6::0 title"','21'
'62','6','1','"Track 6::1 title"','19'
'63','6','2','"Track 6::2 title"','86'
'64','6','3','"Track 6::3 title"','167'
'65','6','4','"Track 6::4 title"','107'
'66','6','5','"Track 6::5 title"','170'
